series,name,team,position,value,role,is_captain,is_vice_captain,xi_cap,xi_spend,bench_spend,total_spend
"ARIMA (1,0,1)",Pedro Porro,Spurs,DEF,5.8,XI,False,False,83.5,82.89999999999999,16.5,99.39999999999999
"ARIMA (1,0,1)",Phil Foden,Man City,MID,8.1,XI,False,False,83.5,82.89999999999999,16.5,99.39999999999999
"ARIMA (1,0,1)",Son Heung-min,Spurs,MID,9.6,XI,False,False,83.5,82.89999999999999,16.5,99.39999999999999
"ARIMA (1,0,1)",Đorđe Petrović,Chelsea,GK,4.5,XI,False,False,83.5,82.89999999999999,16.5,99.39999999999999
"ARIMA (1,0,1)",Alphonse Areola,West Ham,GK,4.2,Bench,False,False,83.5,82.89999999999999,16.5,99.39999999999999
"ARIMA (1,0,1)",Cameron Archer,Sheffield Utd,FWD,4.3,Bench,False,False,83.5,82.89999999999999,16.5,99.39999999999999
"ARIMA (1,0,1)",Chris Richards,Crystal Palace,DEF,3.9,Bench,False,False,83.5,82.89999999999999,16.5,99.39999999999999
"ARIMA (1,0,1)",Conor Bradley,Liverpool,DEF,4.1,Bench,False,False,83.5,82.89999999999999,16.5,99.39999999999999
"ARIMA (1,1,0)",Bukayo Saka,Arsenal,MID,9.1,XI,False,False,83.5,65.9,16.5,82.4
"ARIMA (1,1,0)",Calvin Bassey,Fulham,DEF,4.4,XI,False,False,83.5,65.9,16.5,82.4
"ARIMA (1,1,0)",Chris Richards,Crystal Palace,DEF,3.9,XI,False,False,83.5,65.9,16.5,82.4
"ARIMA (1,1,0)",Daniel Muñoz,Crystal Palace,DEF,4.5,XI,True,False,83.5,65.9,16.5,82.4
"ARIMA (1,1,0)",Ederson Santana de Moraes,Man City,GK,5.5,XI,False,False,83.5,65.9,16.5,82.4
"ARIMA (1,1,0)",Emerson Palmieri dos Santos,West Ham,DEF,4.4,XI,False,False,83.5,65.9,16.5,82.4
"ARIMA (1,1,0)",Jarrod Bowen,West Ham,MID,7.7,XI,False,True,83.5,65.9,16.5,82.4
"ARIMA (1,1,0)",Jordan Ayew,Crystal Palace,MID,5.4,XI,False,False,83.5,65.9,16.5,82.4
"ARIMA (1,1,0)",Kai Havertz,Arsenal,MID,7.1,XI,False,False,83.5,65.9,16.5,82.4
"ARIMA (1,1,0)",Lewis Dunk,Brighton,DEF,5.1,XI,False,False,83.5,65.9,16.5,82.4
"ARIMA (1,1,0)",Ollie Watkins,Aston Villa,FWD,8.8,XI,False,False,83.5,65.9,16.5,82.4
"ARIMA (1,1,0)",Caoimhin Kelleher,Liverpool,GK,3.7,Bench,False,False,83.5,65.9,16.5,82.4
"ARIMA (1,1,0)",Divin Mubama,West Ham,FWD,4.2,Bench,False,False,83.5,65.9,16.5,82.4
"ARIMA (1,1,0)",Matt Ritchie,Newcastle,MID,4.3,Bench,False,False,83.5,65.9,16.5,82.4
"ARIMA (1,1,0)",William Osula,Sheffield Utd,FWD,4.3,Bench,False,False,83.5,65.9,16.5,82.4
"ARIMA (1,1,1)",Bukayo Saka,Arsenal,MID,9.1,XI,False,False,83.5,67.9,16.5,84.4
"ARIMA (1,1,1)",Chris Richards,Crystal Palace,DEF,3.9,XI,False,False,83.5,67.9,16.5,84.4
"ARIMA (1,1,1)",Daniel Muñoz,Crystal Palace,DEF,4.5,XI,True,False,83.5,67.9,16.5,84.4
"ARIMA (1,1,1)",Ederson Santana de Moraes,Man City,GK,5.5,XI,False,False,83.5,67.9,16.5,84.4
"ARIMA (1,1,1)",Jakub Kiwior,Arsenal,DEF,4.3,XI,False,False,83.5,67.9,16.5,84.4
"ARIMA (1,1,1)",João Victor Gomes da Silva,Wolves,MID,4.9,XI,False,False,83.5,67.9,16.5,84.4
"ARIMA (1,1,1)",Kai Havertz,Arsenal,MID,7.1,XI,False,True,83.5,67.9,16.5,84.4
"ARIMA (1,1,1)",Lewis Dunk,Brighton,DEF,5.1,XI,False,False,83.5,67.9,16.5,84.4
"ARIMA (1,1,1)",Luis Díaz,Liverpool,MID,7.5,XI,False,False,83.5,67.9,16.5,84.4
"ARIMA (1,1,1)",Ollie Watkins,Aston Villa,FWD,8.8,XI,False,False,83.5,67.9,16.5,84.4
"ARIMA (1,1,1)",Rasmus Højlund,Man Utd,FWD,7.2,XI,False,False,83.5,67.9,16.5,84.4
"ARIMA (1,1,1)",Callum Hudson-Odoi,Nott'm Forest,MID,4.7,Bench,False,False,83.5,67.9,16.5,84.4
"ARIMA (1,1,1)",Calum Chambers,Aston Villa,DEF,3.8,Bench,False,False,83.5,67.9,16.5,84.4
"ARIMA (1,1,1)",Cameron Archer,Sheffield Utd,FWD,4.3,Bench,False,False,83.5,67.9,16.5,84.4
"ARIMA (1,1,1)",Caoimhin Kelleher,Liverpool,GK,3.7,Bench,False,False,83.5,67.9,16.5,84.4
"ARIMA (2,1,1)",Bukayo Saka,Arsenal,MID,9.1,XI,False,False,83.5,67.4,16.4,83.80000000000001
"ARIMA (2,1,1)",Chris Richards,Crystal Palace,DEF,3.9,XI,False,True,83.5,67.4,16.4,83.80000000000001
"ARIMA (2,1,1)",Daniel Muñoz,Crystal Palace,DEF,4.5,XI,True,False,83.5,67.4,16.4,83.80000000000001
"ARIMA (2,1,1)",Ederson Santana de Moraes,Man City,GK,5.5,XI,False,False,83.5,67.4,16.4,83.80000000000001
"ARIMA (2,1,1)",Jakub Kiwior,Arsenal,DEF,4.3,XI,False,False,83.5,67.4,16.4,83.80000000000001
"ARIMA (2,1,1)",Jarrod Bowen,West Ham,MID,7.7,XI,False,False,83.5,67.4,16.4,83.80000000000001
"ARIMA (2,1,1)",João Victor Gomes da Silva,Wolves,MID,4.9,XI,False,False,83.5,67.4,16.4,83.80000000000001
"ARIMA (2,1,1)",Kai Havertz,Arsenal,MID,7.1,XI,False,False,83.5,67.4,16.4,83.80000000000001
