bootstrap,model,cost_spearman,normalized_cost_rmse,top15_jaccard,squad_jaccard,xi_jaccard,captain_same
11,Full Ridge,0.9986934024690233,0.07705494058914573,0.875,0.5789473684210527,0.8333333333333334,True
11,Reduced Ridge,0.9983910321016193,0.061679717146900265,0.875,0.6666666666666666,0.8333333333333334,True
11,Parsimonious Ridge,0.9985585317835075,0.07069177141363282,0.875,0.5789473684210527,0.8333333333333334,True
11,Full LASSO,0.9964350831030702,0.047430995360428,0.875,0.875,1.0,True
12,Full Ridge,0.9914540991385176,0.0491071198272663,1.0,0.6666666666666666,0.8333333333333334,True
12,Reduced Ridge,0.9922785959555339,0.04238804541224057,1.0,0.875,1.0,True
12,Parsimonious Ridge,0.9950138893053173,0.04164310738895148,1.0,0.5,0.5714285714285714,True
12,Full LASSO,0.99430362428956,0.052989985086730355,0.875,0.875,1.0,True
13,Full Ridge,0.9966066468849383,0.05281843649795791,1.0,0.6666666666666666,0.8333333333333334,True
13,Reduced Ridge,0.9972324318638944,0.045547740327216764,1.0,0.6666666666666666,0.8333333333333334,True
13,Parsimonious Ridge,0.9968219024159231,0.05149773388648098,0.875,0.5,0.5714285714285714,True
13,Full LASSO,0.9969292254377892,0.04368710836067925,0.875,1.0,1.0,True
14,Full Ridge,0.9969760671312221,0.07139291648576886,0.875,0.5,0.6923076923076923,True
14,Reduced Ridge,0.9972328069098297,0.0682770753708658,0.875,0.5,0.6923076923076923,True
14,Parsimonious Ridge,0.9972408495615537,0.0795332733445344,0.875,0.5,0.6923076923076923,True
14,Full LASSO,0.9883506103465737,0.06314494116477586,0.875,1.0,0.8333333333333334,True
15,Full Ridge,0.9667298417654113,0.056144207993712364,0.875,0.36363636363636365,0.5714285714285714,True
15,Reduced Ridge,0.9655757629147954,0.041910310618769604,0.875,0.42857142857142855,0.5714285714285714,True
15,Parsimonious Ridge,0.9660341107195193,0.044557587425123835,0.7647058823529411,0.6666666666666666,1.0,True
15,Full LASSO,0.9975264748184753,0.060729303374048374,1.0,1.0,1.0,True
16,Full Ridge,0.9651065596138328,0.06151281611356773,1.0,0.6666666666666666,0.8333333333333334,True
16,Reduced Ridge,0.9639391874683986,0.06375876233418194,0.875,0.5,0.6923076923076923,True
16,Parsimonious Ridge,0.9619840730076086,0.0691665038321576,0.875,0.5789473684210527,0.6923076923076923,True
16,Full LASSO,0.988442193730102,0.07432510184413894,1.0,1.0,0.8333333333333334,True
17,Full Ridge,0.9934394673047561,0.05982749357482836,1.0,0.5,0.8333333333333334,True
17,Reduced Ridge,0.9937006451269312,0.05854310772241955,1.0,0.875,1.0,True
17,Parsimonious Ridge,0.9941833709174506,0.0653653969160199,0.7647058823529411,0.7647058823529411,0.6923076923076923,True
